stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
366,404,Hamilton St + Boston Ave,,42.258877,-71.76213,,,,,,0
368,406,Hamilton St + Coburn Ave,,42.25952,-71.75916,,,,,,0
369,407,Hamilton St + Park Road Entrance,,42.25996,-71.75574,,,,,,0
370,502,Lake Ave + Hamilton St,,42.26044,-71.7537,,,,,,0
371,504,Lake Ave + Lake Park,,42.26197,-71.75397,,,,,,0
372,506,Lake Ave + Anna St,,42.266434,-71.755256,,,,,,0
373,505,Lake Ave + Othello Rd,,42.264151,-71.754542,,,,,,0
374,507,Lake Ave + Lakeview St,,42.268447,-71.755694,,,,,,0
375,501,Lake Ave + Lincoln Park Towers,,42.27265,-71.75897,,,,,,0
376,500,Lake Ave + Belmont St,,42.27499,-71.75837,,,,,,0
377,1204,Plantation St + North Rd,,42.27864,-71.76504,,,,,,0
378,1269,Plantation St + Winco Rd,,42.28353,-71.76265,,,,,,0
379,1205,Plantation St + Notre Dame,,42.28787,-71.76201,,,,,,0
380,785,Plantation St + Natural History Rd,,42.290216,-71.760312,,,,,,0
381,808,Plantation St +  630 Plantation St,,42.29214,-71.76025,,,,,,0
382,1206,North Lake Ave + 425 North Lake Ave,,42.29435,-71.75876,,,,,,0
383,437,Lincoln St + Haven Lane,,42.297355,-71.761026,,,,,,0
