route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
6,0_4,0_4329317,West Tatnuck via Chandler St.,0,33,L6P24
5,0_5,0_5329284,Central Hub,1,5,L5P43
7,0_2,0_2329370,Central Hub,1,15,L7P42
5,0_5,0_5329287,Central Hub,1,5,L5P43
825,0_1,0_1329403,Park Avenue Connector,0,825,L825P8
7,0_3,0_3329349,Washington Heights,0,15,L7P43
6,0_4,0_4329316,West Tatnuck via Chandler St.,0,39,L6P24
7,0_2,0_2329369,Central Hub,1,7,L7P42
825,0_1,0_1329406,Park Avenue Connector,0,825,L825P8
6,0_3,0_3329336,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329307,Central Hub,1,5,L5P43
5,0_5,0_5329274,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_2,0_2329368,Washington Heights,0,15,L7P43
7,0_1,0_1329401,Central Hub,1,7,L7P42
6,0_3,0_3329339,Central Hub,1,39,L6P26
5,0_4,0_4329306,Central Hub,1,5,L5P43
5,0_5,0_5329285,Central Hub,1,5,L5P43
7,0_2,0_2329383,Central Hub,1,7,L7P41
5,0_5,0_5329280,Central Hub,1,5,L5P43
825,0_1,0_1329412,Central Hub,1,825,L825P7
7,0_3,0_3329350,Washington Heights,0,7,L7P43
6,0_4,0_4329313,West Tatnuck via Chandler St.,0,39,L6P24
7,0_2,0_2329382,Central Hub,1,15,L7P42
825,0_1,0_1329415,Central Hub,1,825,L825P7
7,0_3,0_3329345,Washington Heights,0,15,L7P44
6,0_4,0_4329312,West Tatnuck via Chandler St.,0,39,L6P24
5,0_5,0_5329283,Central Hub,1,5,L5P43
7,0_2,0_2329381,Central Hub,1,7,L7P41
825,0_1,0_1329402,Park Avenue Connector,0,825,L825P8
7,0_3,0_3329348,Washington Heights,0,7,L7P43
6,0_4,0_4329319,West Tatnuck via Chandler St.,0,33,L6P24
5,0_5,0_5329286,Central Hub,1,5,L5P43
825,0_1,0_1329413,Central Hub,1,825,L825P7
7,0_2,0_2329380,Central Hub,1,15,L7P42
7,0_3,0_3329351,Washington Heights,0,15,L7P43
6,0_4,0_4329318,West Tatnuck via Chandler St.,0,33,L6P24
5,0_5,0_5329281,Central Hub,1,5,L5P43
7,0_2,0_2329379,Central Hub,1,7,L7P41
825,0_1,0_1329408,Park Avenue Connector,0,825,L825P8
7,0_3,0_3329346,Washington Heights,0,7,L7P44
6,0_4,0_4329325,Central Hub,1,39,L6P26
5,0_5,0_5329292,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_2,0_2329378,Central Hub,1,15,L7P42
5,0_5,0_5329295,Central Hub,1,5,L5P43
825,0_1,0_1329411,Park Avenue Connector,0,825,L825P8
7,0_3,0_3329357,Washington Heights,0,15,L7P44
6,0_4,0_4329324,Central Hub,1,39,L6P26
7,0_2,0_2329377,Central Hub,1,7,L7P41
825,0_1,0_1329414,Central Hub,1,825,L825P7
7,0_3,0_3329344,Washington Heights,0,7,L7P43
6,0_4,0_4329315,West Tatnuck via Chandler St.,0,39,L6P24
5,0_5,0_5329282,Central Hub,1,5,L5P43
7,0_2,0_2329376,Central Hub,1,15,L7P42
825,0_1,0_1329409,Park Avenue Connector,0,825,L825P8
7,0_3,0_3329347,Washington Heights,0,15,L7P43
6,0_4,0_4329314,West Tatnuck via Chandler St.,0,39,L6P24
5,0_5,0_5329293,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_2,0_2329391,Central Hub,1,7,L7P41
5,0_5,0_5329288,Central Hub,1,5,L5P43
825,0_1,0_1329420,Central Hub,1,825,L825P7
7,0_3,0_3329358,Washington Heights,0,7,L7P44
6,0_4,0_4329321,Central Hub,1,39,L6P26
7,0_2,0_2329390,Central Hub,1,15,L7P42
23,0_1,0_1329423,Central Hub,1,23,L23P73
7,0_3,0_3329353,Washington Heights,0,15,L7P43
6,0_4,0_4329320,Central Hub,1,39,L6P26
5,0_5,0_5329291,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_2,0_2329389,Central Hub,1,7,L7P41
825,0_1,0_1329410,Park Avenue Connector,0,825,L825P8
7,0_3,0_3329356,Washington Heights,0,7,L7P43
6,0_4,0_4329327,Central Hub,1,39,L6P26
