stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_1030,1030,Great Brook Valley,Comment,42.3025581,-71.7660049,,0,1_GBV,,3
0_1270,1270,Plantation + Plantation Towers,,42.2837201,-71.7626598,,0,1_1270,,3
0_1029,1029,Tacoma St + 67 Tacoma,,42.3049901,-71.76808,,0,1_1029,,3
0_1269,1269,Plantation St + Winco Rd,,42.2835301,-71.76265,,0,1_1269,,3
0_1026,1026,Tacoma St + Constitution,,42.30625,-71.7705898,,0,1_1026,,3
0_1268,1268,Shrewsbury St at Waite St,,42.2673661,-71.7827979,,0,1_1268,,3
0_840,840,Pleasant St + Baxter St,,42.2801899,-71.86894,,0,1_840,,3
0_1025,1025,Tacoma St + 134  Tacoma St,,42.3062101,-71.7703899,,0,1_1025,,3
0_1024,1024,Tacoma St + Great Brook Valley,,42.3050699,-71.76823,,0,1_1024,,3
0_1266,1266,Summer St at Kendall St,,42.273705,-71.7968639,,0,1_1266,,3
0_600,600,Main St + May St,,42.2543999,-71.81473,,0,1_600,,3
0_842,842,Pleasant St + Edwidge St,,42.2805899,-71.8722999,,0,1_842,,3
0_1023,1023,Great Brook Valley,Comment,42.3027953,-71.7662889,,0,1_GBV,,3
0_1265,1265,Brooks St at Higgins St,,42.3193868,-71.8007779,,0,1_1265,,3
0_601,601,Main St + Claremont St,,42.25362,-71.8160099,,0,1_601,,3
0_602,602,Main St + Norwood St,,42.2524601,-71.8181598,,0,1_602,,3
0_844,844,Tatnuck Square,,42.2791762,-71.8662235,,0,1_TatSq,,3
0_603,603,Main St + Hawthorne St,,42.25138,-71.8201699,,0,1_603,,3
0_604,604,Clark Universtiy,Comment,42.24994,-71.82285,,0,1_ClrkU,,3
0_4535,4535,Maple Ave at Brightside Ave,,42.290938,-71.7214609,,0,1_4535,,3
0_605,605,Main St + Beaver St,,42.2492799,-71.82404,,0,1_605,,3
0_847,847,Pleasant + Kensington Heights,,42.276,-71.83495,,0,1_847,,3
0_848,848,Pleasant St at Rockwood,,42.280568,-71.8708611,,0,1_848,,3
0_607,607,Main St + Marble St,,42.2476599,-71.8270598,,0,1_607,,3
0_849,849,Pleasant St + Prouty Ln,,42.2802,-71.8693799,,0,1_849,,3
0_608,608,Main St + Lucian St,,42.24669,-71.8288001,,0,1_608,,3
0_609,609,Main St + Cambridge St,,42.2454599,-71.8314101,,0,1_609,,3
0_4550,4550,Main St at Summer St,,42.2964455,-71.7095488,,0,1_4550,,3
0_1044,1044,Upland St at Harwich,,42.2236464,-71.8008262,,0,1_1044,,3
0_1043,1043,Upland St at 65 Upland,,42.2241308,-71.8027584,,0,1_1043,,3
0_1042,1042,Autumn Woods Apts,Comment,42.2232681,-71.8047801,,0,1_AutWod,,3
0_1041,1041,22 Upland Garden,,42.2225503,-71.804006,,0,1_1041,,3
0_1040,1040,36 Upland Garden,,42.2215507,-71.8035884,,0,1_1040,,3
0_1039,1039,48 Upland Garden,,42.2206222,-71.8033638,,0,1_1039,,3
0_1038,1038,Upland St at Upland Garden,,42.2241612,-71.8046139,,0,1_1038,,3
0_850,850,Tatnuck Square,Comment,42.2795955,-71.8675754,,0,1_TatSq,,3
0_1037,1037,Upland St at Mallard,,42.2234122,-71.7996046,,0,1_1037,,3
0_851,851,Pleasant St + Mill St,,42.2779901,-71.8511301,,0,1_851,,3
0_1036,1036,Upland St at Emmanuel,,42.2236791,-71.7972374,,0,1_1036,,3
0_852,852,Pleasant St + Howe Ave,,42.2780599,-71.85019,,0,1_852,,3
0_1035,1035,36 Upland Garden,,42.221562,-71.8038577,,0,1_1035,,3
0_611,611,Main St + Tirrell St,,42.2468799,-71.8282799,,0,1_611,,3
0_853,853,Pleasant St + Chesterfield Rd,,42.2783799,-71.84838,,0,1_853,,3
0_1034,1034,48 Upland Garden,,42.2205641,-71.8036178,,0,1_1034,,3
0_612,612,Main St + Lowell St,,42.2476399,-71.8268901,,0,1_612,,3
0_855,855,Pleasant St + Moreland St,,42.2780341,-71.8437359,,0,1_PlMore,,3
0_614,614,Main St + Wyman St,,42.25139,-71.8199299,,0,1_614,,3
0_856,856,Pleasant St + Moore Ave,,42.2774706,-71.8420114,,0,1_856,,3
0_4545,4545,Main St at Grafton St,,42.2966361,-71.7133951,,0,1_4545,,3
0_615,615,Main St + Gardner St,,42.2521299,-71.8185501,,0,1_615,,3
0_857,857,Pleasant St + May St,,42.2772656,-71.8398726,,0,1_857,,3
0_616,616,Main St + Ripley St,,42.2533599,-71.8162499,,0,1_616,,3
0_617,617,Main St + Lagrange St,,42.2563499,-71.81071,,0,1_617,,3
0_859,859,Pleasant St + Kenilworth Rd,,42.27687,-71.8364966,,0,1_859,,3
0_619,619,Main St + Ionic Ave,,42.2588,-71.8061699,,0,1_619,,3
0_4560,4560,Main St at South St,,42.2955252,-71.7035529,,0,1_4560,,3
0_1054,1054,Upsala Street Apartments,,42.242635,-71.7971351,,0,1_UpSApt,,3
0_1053,1053,Upsala St at Stockton,,42.2421009,-71.7948718,,0,1_1053,,3
0_1052,1052,Upsala St at Esther,,42.241785,-71.793463,,0,1_1052,,3
0_1051,1051,Providence St &  Doane St,,42.2414151,-71.7918291,,0,1_PrDoan,,3
0_1050,1050,Upsala St at Providence,,42.2412363,-71.7916277,,0,1_1050,,3
0_860,860,Pleasant St + Lenox St,,42.2750558,-71.8335634,,0,1_860,,3
0_1049,1049,Upsala St at Esther,,42.2416464,-71.7935773,,0,1_1049,,3
0_861,861,Pleasant St + St Elmo St,,42.2735499,-71.8314,,0,1_861,,3
0_862,862,Pleasant St + Howland Terr,,42.27141,-71.82945,,0,1_862,,3
0_621,621,City Hall (Main St),Comment,42.26308,-71.8022101,,0,1_CtyHal,,3
0_1046,1046,Upland St at Mallard,,42.2233106,-71.7996156,,0,1_1046,,3
0_622,622,Main St at Leicester Line,,42.240625,-71.863336,,0,1_622,,3
0_864,864,Pleasant St + June St,,42.2699753,-71.8259005,,0,1_864,,3
0_1045,1045,Upland St at Emmanuel,,42.2235438,-71.7972392,,0,1_1045,,3
